"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM2","1988-09-28","1","Surface Water","51","9.6","8.8","24.3","5.5","26.4","4","0.1"
"Tolo Harbour and Channel","TM2","1988-09-28","1","Bottom Water","35","5.5","8.7","28.3","5","26.9","3","0.15"
"Tolo Harbour and Channel","TM2","1988-10-12","1","Surface Water","17","6.6","8.6","27.3","N/A","25.8","2","0.51"
"Tolo Harbour and Channel","TM2","1988-10-12","1","Bottom Water","5.7","3.9","8.6","29.5","N/A","25.7","3","0.4"
"Tolo Harbour and Channel","TM2","1988-10-31","1","Surface Water","6.9","5.4","8","28","1.9","19.7","5.5","0.89"
"Tolo Harbour and Channel","TM2","1988-10-31","1","Bottom Water","5.6","4.8","8.1","28.7","3.7","20.5","2","0.82"
"Tolo Harbour and Channel","TM2","1988-11-09","1","Surface Water","58","10.8","8.7","30.1","3.8","21.5","7","0.1"
"Tolo Harbour and Channel","TM2","1988-11-09","1","Middle Water","59","N/A","N/A","N/A","N/A","N/A","5.5","0.09"
"Tolo Harbour and Channel","TM2","1988-11-09","1","Bottom Water","62","9.6","8.8","31","4.4","21.4","4.5","0.01"
"Tolo Harbour and Channel","TM2","1988-11-23","1","Surface Water","3.7","N/A","8.4","30.8","5.2","21.5","3","0.28"
"Tolo Harbour and Channel","TM2","1988-11-23","1","Bottom Water","4.7","N/A","8.1","31","3.3","21.3","2.5","0.23"
"Tolo Harbour and Channel","TM2","1988-12-07","1","Surface Water","36","8.9","8.6","30.7","3.2","18.1","4.5","0.56"
"Tolo Harbour and Channel","TM2","1988-12-07","1","Bottom Water","26","8","8.5","30.8","2.2","18","4","0.09"
"Tolo Harbour and Channel","TM2","1988-12-20","1","Surface Water","26","9.8","9.1","N/A","8","17","4","0.02"
"Tolo Harbour and Channel","TM2","1988-12-20","1","Bottom Water","7.6","7.2","8.6","N/A","3.5","17","2.5","0.01"
"Tolo Harbour and Channel","TM2","1989-01-04","1","Surface Water","8.1","6.2","8.6","29.2","4.3","16.6","2","0.6"
"Tolo Harbour and Channel","TM2","1989-01-04","1","Bottom Water","13","4.3","8.6","30.5","5","16.6","2.5","0.59"
"Tolo Harbour and Channel","TM2","1989-01-18","1","Surface Water","14","6.5","8.3","29.2","3.1","15","3.5","0.78"
"Tolo Harbour and Channel","TM2","1989-01-18","1","Bottom Water","4.4","5.9","8.2","30.6","3.6","14.8","4.5","0.3"
"Tolo Harbour and Channel","TM2","1989-02-01","1","Surface Water","130","10.5","8.7","28.8","4.1","14.2","4","0.44"
"Tolo Harbour and Channel","TM2","1989-02-01","1","Bottom Water","19","10.5","8.5","28.8","4.3","14.2","4.5","0.49"
"Tolo Harbour and Channel","TM2","1989-02-15","1","Surface Water","120","11.1","8.8","30.2","10","14","4.5","0.01"
"Tolo Harbour and Channel","TM2","1989-02-15","1","Bottom Water","23","10.2","8.6","30.7","7","13.9","2.5","0.04"
"Tolo Harbour and Channel","TM2","1989-03-01","1","Surface Water","51","9.7","8.5","30.4","5.8","16.7","6","0.4"
"Tolo Harbour and Channel","TM2","1989-03-01","1","Bottom Water","42","7","8.6","30.6","6.7","16.4","7","0.08"
"Tolo Harbour and Channel","TM2","1989-03-15","1","Surface Water","41","9.6","8.8","30.2","4.6","17.1","12","0.02"
"Tolo Harbour and Channel","TM2","1989-03-15","1","Middle Water","45","9.4","8.9","30.4","4.8","17","11","0.02"
"Tolo Harbour and Channel","TM2","1989-03-15","1","Bottom Water","10","4.8","8.5","31.3","2.9","15.7","6","0.02"
"Tolo Harbour and Channel","TM2","1989-03-29","1","Surface Water","82","9.4","8.9","29.4","5.7","17.5","2","0.15"
"Tolo Harbour and Channel","TM2","1989-03-29","1","Bottom Water","20","9","8.8","30.9","4.5","17.4","1.5","0.08"
"Tolo Harbour and Channel","TM2","1989-04-12","1","Surface Water","5.6","5.3","8.1","29.8","3.7","19.1","1","0.5"
"Tolo Harbour and Channel","TM2","1989-04-12","1","Middle Water","5.7","5.7","8.1","30.4","3.7","19.5","1","0.52"
"Tolo Harbour and Channel","TM2","1989-04-12","1","Bottom Water","7.6","5.1","8.1","30.6","3.4","19.6","1.5","0.52"
"Tolo Harbour and Channel","TM2","1989-04-26","1","Surface Water","43","7.4","8.7","28.2","8.4","21.1","3","0.12"
"Tolo Harbour and Channel","TM2","1989-04-26","1","Bottom Water","1.3","3.7","8.3","30.6","6.4","20.6","5.5","0.24"
"Tolo Harbour and Channel","TM2","1989-05-11","1","Surface Water","13","4","8.4","N/A","5","22.6","3","0.19"
"Tolo Harbour and Channel","TM2","1989-05-11","1","Middle Water","16","3.3","8.4","N/A","5","21.8","1.5","0.42"
"Tolo Harbour and Channel","TM2","1989-05-11","1","Bottom Water","9.2","0.9","8.2","N/A","5.5","21.2","3.5","0.16"
"Tolo Harbour and Channel","TM2","1989-05-24","1","Surface Water","89","7.9","9.2","22.8","6.6","24.9","5.5","0.34"
"Tolo Harbour and Channel","TM2","1989-05-24","1","Bottom Water","0.2","3.7","8.2","30.3","3.9","23.7","<0.5","0.2"
"Tolo Harbour and Channel","TM2","1989-06-09","1","Surface Water","37","8.1","8.9","27.1","6.2","25.3","<0.5","0.26"
"Tolo Harbour and Channel","TM2","1989-06-09","1","Bottom Water","23","5.8","8.8","27.2","5.7","25","<0.5","0.24"
"Tolo Harbour and Channel","TM2","1989-06-21","1","Surface Water","33","5.4","8.6","30.6","7.6","27.1","11","0.01"
"Tolo Harbour and Channel","TM2","1989-06-21","1","Bottom Water","20","3.5","8.5","30.8","11","27.4","13","0.02"
